Marca temporal,Reviewer name,Location,Biome,Taxonomic group,Conservation problem,Stakeholder population,Type of scientific evidence,Study design,Data collected,Factors influencing evidence use,rayyan key,Evidence discipline,Scale of study,Scale of decision-making,Type of organisation studied,Description of decision type
17/11/2025 17:20,Philip Martin,"Australia, Canada, Ireland, UK, New Zealand",Not mentioned,Not mentioned,Not reported,Policymakers,No description provided,Interviews,Stakeholder perceptions,"Format and language, Relevance, Rigour, Uncertainty, Inconclusive, Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Culture of practitioner/policymakers, Other stakeholder values and beliefs",rayyan-83177768,Not mentioned,Multi-country,National,Government/statutory body,
13/01/2026 11:20,Philip Martin,India,Forest,Mammals,Overexploitation,"Researchers, Practitioners, Policymakers",Peer-reviewed studies,Interviews,Stakeholder perceptions,"Relevance, Source of evidence, Scientist-actor relationships, Social, political, and economic context",rayyan-83177562,Natural sciences,Single,Local,"Government/statutory body, Academic institution",Control of yak grazing
13/01/2026 11:42,Philip Martin,Peru,Forest,Plants,Overexploitation,"Researchers, Practitioners, Policymakers",Peer-reviewed studies,Interviews,Stakeholder perceptions,"Existence of evidence, Relevance, Rigour, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policymaker personal characteristics, Other stakeholder values and beliefs",rayyan-83177652,Natural sciences,Single,Regional,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Logging in brazil nut concessions
13/01/2026 11:59,Philip Martin,Australia,Not mentioned,Not mentioned,Climate change,"Researchers, Practitioners, Policymakers",Visual products for communicating research results,"Interviews, Workshops",Stakeholder perceptions,"Format and language, Relevance",rayyan-83177669,Social sciences,Multi-unit,Not reported,"Government/statutory body, NGO/non-profit, Academic institution",Adaptation to climate change
13/01/2026 13:07,Philip Martin,UK,Marine,Not mentioned,"Overexploitation, Infrastructure",Researchers,No description provided,Workshops,Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Rigour, Timeliness of evidence",rayyan-83177749,Natural sciences,Single,Not reported,Academic institution,Multiple
14/01/2026 09:58,Philip Martin,Global,Marine,Not mentioned,Not reported,"Researchers, Practitioners",No description provided,Interviews,Stakeholder perceptions,Scientist-actor relationships,rayyan-83177919,Not mentioned,Multi-country,Not reported,Government/statutory body,Intergovernmental science organisation 
14/01/2026 10:12,Philip Martin,Canada,Freshwater,Fish,Overexploitation,"Researchers, Practitioners",No description provided,Interviews,Stakeholder perceptions,"Format and language, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context",rayyan-153485175,Not mentioned,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Private sector, First Nations Communities",Salmon fishery management
14/01/2026 10:34,Philip Martin,"Belize, Guatemala, Honduras",Not mentioned,Mammals,Overexploitation,"Researchers, Practitioners, Law enforcement",No description provided,Interviews,Stakeholder perceptions,"Existence of evidence, Relevance, Rigour, Implementation capacity, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships",rayyan-153486790,Both natural and social sciences,Multi-country,Not reported,"Government/statutory body, NGO/non-profit, Academic institution",Illegal wildlife trade enforcement
14/01/2026 10:53,Philip Martin,"Bulgaria, Cyprus, France, Greece, Italy, Malta, Romania, Spain, Croatia, Egypt, Georgia, Lebanon, Morocco, Russia, Tunisia, Turkey, Ukraine",Marine,Fish,Overexploitation,Researchers,No description provided,Workshops,Stakeholder perceptions,"Existence of evidence, Relevance, Scientist-actor relationships",rayyan-153486863,Natural sciences,Multi-country,International,Academic institution,Fisheries management
14/01/2026 11:07,Philip Martin,UK,"Forest, Peatland",Not mentioned,Not reported,"Researchers, Practitioners",Research data,Surveys,Stakeholder perceptions,"Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Capacity and resources",rayyan-153486874,Both natural and social sciences,Multi-region,Local,"Government/statutory body, NGO/non-profit, Academic institution",Management of upland peatlands and upland woodlands
14/01/2026 11:22,Philip Martin,"Mozambique, South Africa, Uganda, India, Pakistan, South Korea, Russia, Australia, New Zealand, Belgium, Czech Republic, Estonia, Italy, Netherlands, Spain, Sweden, UK, Ireland, Canada, Mexico, Trinidad and Tobago, USA, Ecuador, Suriname",Not mentioned,Not mentioned,Not reported,Researchers,Research data,Surveys,Stakeholder perceptions,Spatial/temporal scale of evidence,rayyan-153487541,Natural sciences,Multi-country,Not reported,Academic institution,Use of biodiversity impact assessment data
14/01/2026 11:36,Philip Martin,UK,Shrubland,Birds,Overexploitation,"Researchers, Practitioners",No description provided,"Surveys, Focus groups",Stakeholder perceptions,"Rigour, Source of evidence, Scientist-actor relationships",rayyan-153487944,Not mentioned,Multi-region,Regional,Not detailed,COnflict between grouse hunting and ground nesting bird conservation
14/01/2026 11:50,Philip Martin,Zimbabwe,Not mentioned,Mammals,Overexploitation,Practitioners,Monitoring data,Interviews,Stakeholder perceptions,"Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers, Capacity and resources",rayyan-153488205,Natural sciences,Multi-unit,Local,Government/statutory body,Management of elephant poaching
14/01/2026 12:59,Philip Martin,"Bolivia, Peru, Ecuador",Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,"Surveys, Workshops",Stakeholder perceptions,"Accessibility of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources, Practitioner/policymaker-stakeholder relationships",rayyan-153488643,Natural sciences,Multi-country,Not reported,"NGO/non-profit, Community/local organisation, Private sector, Academic institution, Indigenous organisation",Use of biodiversity products in conservation
14/01/2026 13:11,Philip Martin,USA,Not mentioned,Not mentioned,Not reported,Practitioners,No description provided,Surveys,Stakeholder perceptions,"Existence of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers, Capacity and resources",rayyan-153489354,Both natural and social sciences,Multi-region,Not reported,"Government/statutory body, NGO/non-profit",Implementation of cost-effective conservation
14/01/2026 13:19,Philip Martin,"France, Reunion, Mayotte, Saint Martin",Marine,Not mentioned,Overexploitation,Practitioners,Research data,Workshops,Stakeholder perceptions,"Rigour, Practitioner/policymaker research skills",rayyan-153489474,Natural sciences,Multi-country,Regional,Not detailed,
14/01/2026 15:33,Philip Martin,Canada,Forest,Not mentioned,Overexploitation,"Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,"Social, political, and economic context",rayyan-153497509,Natural sciences,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Private sector",Forest management strategy
14/01/2026 15:45,Philip Martin,"UK, Europe, Australia, New Zealand, USA, Canada, Asia, Africa, South America","Desert, Forest, Grassland, Marine, Freshwater, Agroecosystems","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish, Fungi",Not reported,Researchers,Peer-reviewed studies,Surveys,Stakeholder perceptions,"Inconclusive, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use",rayyan-153498990,Natural sciences,Multi-country,Not reported,Not detailed,Use of evidence in management
14/01/2026 15:55,Philip Martin,USA,Shrubland,Birds,Land use change,"Researchers, Practitioners, Policymakers",No description provided,"Interviews, Focus groups",Stakeholder perceptions,"Existence of evidence, Relevance",rayyan-153499092,Natural sciences,Multi-region,Regional,"Government/statutory body, NGO/non-profit, Community/local organisation, Private sector, Academic institution",Management of transmission lines for their impacts on greater sage-grouse
16/01/2026 15:58,Philip Martin,Australia,Freshwater,Fish,River regulation,"Researchers, Practitioners",No description provided,"Surveys, Workshops",Stakeholder perceptions,"Existence of evidence, Format and language, Relevance, Rigour, Timeliness of evidence, Scientist-actor relationships",rayyan-164684141,Natural sciences,Multi-unit,Regional,"Government/statutory body, Academic institution",Managment of river flows
16/01/2026 16:13,Philip Martin,USA,Freshwater,Not mentioned,River management,"Researchers, Practitioners",Peer-reviewed studies,Interviews,Stakeholder perceptions,"Existence of evidence, Rigour, Uncertainty, Spatial/temporal scale of evidence",rayyan-164684840,Natural sciences,Multi-region,Local,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Management of rivers using mimicry of beaver dams
20/01/2026 10:29,Philip Martin,USA,Forest,Not mentioned,Overexploitation,Practitioners,Decision-making tools,Documentary analysis,Document-based data,"Relevance, Practitioner/policmaker attitude towards evidence use",rayyan-153486809,Natural sciences,Single,Local,Government/statutory body,Management of mixed oak forests
20/01/2026 10:51,Philip Martin,USA,Not mentioned,Not mentioned,Land use change,Practitioners,No description provided,Surveys,Stakeholder perceptions,"Accessibility of evidence, Format and language, Quantity of information, Difficult to find, Relevance, Implementation capacity",rayyan-164685236,Not mentioned,Multi-region,Local,Not detailed,Land use planning
20/01/2026 11:04,Philip Martin,USA,Forest,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Rigour, Source of evidence, Scientist-actor relationships",rayyan-164688113,Natural sciences,Multi-unit,Not reported,"Community/local organisation, Private sector, Indigenous groups",Forest management
20/01/2026 11:19,Philip Martin,Finland,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers, Journalists",No description provided,"Surveys, Interviews",Stakeholder perceptions,"Accessibility of evidence, Format and language, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships",rayyan-164699118,Not mentioned,Multi-unit,Not reported,"Government/statutory body, NGO/non-profit, Private sector, Academic institution, Media organisation",Environmental decision-making - some of which is related to natural resource management
20/01/2026 11:33,Philip Martin,UK,"Freshwater, Peatlands",Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,Surveys,Stakeholder perceptions,Culture of practitioner/policymakers,rayyan-164700304,Not mentioned,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Catchment management - including for nature conservation
